Date,Time,URL,Content,Date_2,Author,Tweet_Text,Spam_Ham
3/2/2021 0:00,6:48:15,https://twitter.com/AlArabiya/status/1366641482610970626,,,,سي إن إن تستعد إدارة الرئيس بايدن لفرض عقوبات على روسيا على خلفية تسميم المعارض لكرملين أليكسينافالني وسجنه العربية,
12/22/2020 0:00,19:50:00,https://twitter.com/skynewsarabia/status/1363939114605813761,,,,حكم يتصدى لكرة في طريقها لمرمى في لقطة كوميدية نادرة منصات,
2/25/2021 0:00,16:21:48,https://twitter.com/AlArabiya/status/1364973883187675137,,,,تابعونا على العربية عبر برنامج بانوراما ال بتوقيت السعودية ال رئيس وزراء أرمينيا يتهم الجيش بمحاولة الانقلاب لماذا تحول الأطفال من ناقلين لعدوى لمصابين بأعراض شديدة,
2/13/2021 0:00,23:59:16,https://twitter.com/AlArabiya/status/1360740354421645315,,,,خبير بفريق التحقيق في منظمة الصحة العالمية بكين رفضت تزويدنا بيانات حول حالة أصيبت ب كورونا في بداية ظهور الوباء العربية,
3/1/2021 0:00,12:42:15,https://twitter.com/AlArabiya/status/1366368182752186368,,,,بالوثائق تعرف على أهم الاتفاقيات التاريخية لترسيم الحدود بين السودان وإثيوبيا العربية,
2/27/2021 0:00,12:24:02,https://twitter.com/AlArabiya/status/1365638822139150337,,,,الإمارات تعلن وقوفها التام مع السعودية في جهودها الرامية لاستقرار وأمن المنطقة وترفض أي محاولات لاستغلال قضية خاشقجي لتدخل في شؤون المنطقة العربية,
12/23/2020 0:00,12:40:00,https://twitter.com/skynewsarabia/status/1364193289008779265,,,,شحنة جديدة من لقاح كورونا الصيني تصل مطار القاهرة,
13:32:22,12/8/2020 0:00,,,,,الان متاح لدينا شهاده ايلتس معتمده بدون اختبارات وبأقل سعر لتواصل عبر رسائل الصفحه الابتعاث الخارجي الابتعاث الخارجي خريجين جامعة الملك سلمان جامعة الملك عبدالعزيز الابتعاث السعوديه الان الامارات,
12/9/2020 0:00,10:33:43,https://twitter.com/emaratalyoum/status/1359088081278754817,,,,حبس موظف تحرش بطفل في الألعاب المائية الإماراتاليوم,
12/22/2020 0:00,10:47:42,https://twitter.com/skynewsarabia/status/1363802642787532802,,,,امتلاك هاتف محمول بين عقلية الماضي والحاضر,
12/18/2020 0:00,3:38:49,https://twitter.com/skynewsarabia/status/1362245159400964098,,,,بعد إقفال الحضانات ماذا اكتشف الأهل في أطفالهم,
12/22/2020 0:00,11:10:11,https://twitter.com/emaratalyoum/status/1363808298797993985,,,,مشاهد من فعاليات معرض جلفود في مركز دبي التجاري العالمي ويشارك فيه من أبرز العلامات المختصة في قطاع الأغذية لتسليط الضوء على الابتكارات الجديدة في السوق واغتنام التحولات المتسارعة في أنماط سلوكيات المستهلكين الإماراتاليوم,
12/22/2020 0:00,7:25:11,https://twitter.com/emaratalyoum/status/1363751675639472130,,,,إقامة دبي تدشن رسميا مشروع رحلة المسافر الذكي باستخدام بصمة الوجه خلال ثوان مع تطبيق إجراءات الوقاية من كورونا الإماراتاليوم,
